Code,accident_severity,age_band_of_casualty,age_band_of_driver,age_of_casualty,age_of_driver,bus_or_coach_passenger,car_passenger,carriageway_hazards,casualty_class,casualty_severity,casualty_type,day_of_week,did_police_officer_attend_scene_of_accident,engine_capacity_cc,first_point_of_impact,first_road_class,first_road_number,generic_make_model,hit_object_in_carriageway,hit_object_off_carriageway,junction_detail,junction_location,light_conditions,local_authority_district,pedestrian_location,pedestrian_movement,pedestrian_road_maintenance_worker,road_surface_conditions,road_type,sex_of_casualty,sex_of_driver,skidding_and_overturning,special_conditions_at_site,towing_and_articulation,vehicle_leaving_carriageway,vehicle_left_hand_drive,vehicle_manoeuvre,vehicle_type,weather_conditions
-1,,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,,,,,Data missing or out of range,Data missing or out of range,Data missing or out of range,,Unknown,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range
0,,,,,,Not a bus or coach passenger,Not car passenger,None,,,Pedestrian,,,,Did not impact,,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,,None,None,Not at junction or within 20 metres,Not at or within 20 metres of junction,,,Not a Pedestrian,Not a Pedestrian,No / Not applicable,,,,,None,None,No tow/articulation,Did not leave carriageway,,,,
17,,,,,,,,,,,Agricultural vehicle occupant,,,,,,,,,,,,,1,,,,,,,,,,,,,Going ahead right-hand bend,Agricultural vehicle,
18,,,,,,,,,,,Tram occupant,,,,,,,,,,,,,1,,,,,,,,,,,,,Going ahead other,Tram,
19,,,,,,,,,,,Van / Goods vehicle (3.5 tonnes mgw or under) occupant,,,,,,,,,,,,,1,,,,,,,,,,,,,,Van / Goods 3.5 tonnes mgw or under,
20,,,,,,,,,,,Goods vehicle (over 3.5t. and under 7.5t.) occupant,,,,,,,,,,,,,1,,,,,,,,,,,,,,Goods over 3.5t. and under 7.5t,
21,,,,,,,,,,,Goods vehicle (7.5 tonnes mgw and over) occupant,,,,,,,,,,,,,1,,,,,,,,,,,,,,Goods 7.5 tonnes mgw and over,
22,,,,,,,,,,,Mobility scooter rider,,,,,,,,,,,,,1,,,,,,,,,,,,,,Mobility scooter,
23,,,,,,,,,,,Electric motorcycle rider or passenger,,,,,,,,,,,,,1,,,,,,,,,,,,,,Electric motorcycle,
24,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
90,,,,,,,,,,,Other vehicle occupant,,,,,,,,,,,,,1,,,,,,,,,,,,,,Other vehicle,
91,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
